app_id,app_name,count
223470,POSTAL 2,10387
265630,Fistful of Frags,10282
214490,Alien: Isolation,10149
40800,Super Meat Boy,9874
35450,Rising Storm/Red Orchestra 2 Multiplayer,9851
289070,Sid Meier's Civilization VI,9831
261030,The Walking Dead: Season Two,9761
233250,Planetary Annihilation,9736
316010,Magic Duels,9726
247730,Nether,9595
10090,Call of Duty: World at War,9455
204300,Awesomenauts,9450
236390,War Thunder,9426
226700,Infestation: Survivor Stories 2020,9372
57300,Amnesia: The Dark Descent,9349
253710,theHunter Classic,9348
250600,The Plan,9239
7670,BioShock,9193
8980,Borderlands GOTY,9185
34330,Total War: SHOGUN 2,9020
34900,Bad Rats,8954
241540,State of Decay,8921
306130,The Elder Scrolls Online,8725
8930,Sid Meier's Civilization V,8693
437220,The Culling,8577
261640,Borderlands: The Pre-Sequel,8567
241600,Rogue Legacy,8546
209870,Blacklight: Retribution,8536
209160,Call of Duty: Ghosts,8521
209080,Guns of Icarus Online,8318
243470,Watch_Dogs,8261
303210,The Beginner's Guide,8174
281990,Stellaris,8148
223710,Cry of Fear,8143
108600,Project Zomboid,8127
307780,Mortal Kombat X,8122
207140,SpeedRunners,8090
48000,LIMBO,8062
202970,Call of Duty: Black Ops II,8057
10180,Call of Duty: Modern Warfare 2,7946
70,Half-Life,7916
209000,Batman™: Arkham Origins,7905
393380,Squad,7903
42910,Magicka,7872
313120,Stranded Deep,7830
204100,Max Payne 3,7819
264200,One Finger Death Punch,7737
242050,Assassin's Creed IV Black Flag,7682
17410,Mirror's Edge,7681
344760,Reign Of Kings,7638
273110,Counter-Strike Nexon: Studio,7519
202170,Sleeping Dogs™,7481
246620,Plague Inc: Evolved,7467
33930,Arma 2: Operation Arrowhead,7449
504370,Battlerite,7364
233720,Surgeon Simulator,7342
219990,Grim Dawn,7299
219890,Antichamber,7281
235540,Warhammer: End Times - Vermintide,7132
330830,Tales from the Borderlands,7117
403640,Dishonored 2,7090
230230,Divinity: Original Sin (Classic),7068
203140,Hitman: Absolution,7059
20900,The Witcher: Enhanced Edition,6988
63380,Sniper Elite V2,6970
214560,Mark of the Ninja,6913
298630,The Escapists,6904
35140,Batman: Arkham Asylum GOTY Edition,6895
294100,RimWorld,6836
32370,STAR WARS™: Knights of the Old Republic™,6833
206190,Gunpoint,6807
1840,Source Filmmaker,6792
299740,Miscreated,6779
337000,Deus Ex: Mankind Divided™,6762
262060,Darkest Dungeon®,6750
302830,BLOCKADE 3D,6739
335300,DARK SOULS™ II: Scholar of the First Sin,6727
391220,Rise of the Tomb Raider,6717
22330,The Elder Scrolls IV: Oblivion ,6589
236110,Dungeon Defenders II,6574
233130,Shadow Warrior,6542
220,Half-Life 2,6483
245170,Skullgirls 2nd Encore,6479
323470,DRAGON BALL XENOVERSE,6433
226320,Marvel Heroes Omega,6424
383080,Sakura Clicker,6424
10500,Total War: EMPIRE - Definitive Edition,6368
630,Alien Swarm,6360
65800,Dungeon Defenders,6335
24960,Battlefield: Bad Company™ 2,6214
108710,Alan Wake,6193
236090,Dust: An Elysian Tail,6132
377160,Fallout 4,6121
51100,Tactical Intervention,6116
332800,Five Nights at Freddy's 2,6068
285900,Gang Beasts,6015
39140,FINAL FANTASY VII,6002
242680,Nuclear Throne,5968
322500,SUPERHOT,5937
248570,Toribash,5890
70000,Dino D-Day,5819
274940,Depth,5799
325610,Total War: ATTILA,5741
310560,DiRT Rally,5711
220780,Thomas Was Alone,5701
270880,American Truck Simulator,5680
47810,Dragon Age: Origins - Ultimate Edition,5658
334230,Town of Salem,5630
248820,Risk of Rain,5578
233270,Far Cry® 3 Blood Dragon,5560
289130,ENDLESS™ Legend,5553
427730,Who's Your Daddy?!,5530
259080,Just Cause 2: Multiplayer Mod,5503
238010,Deus Ex: Human Revolution - Director's Cut,5493
372000,Tree of Savior (English Ver.),5457
291650,Pillars of Eternity,5426
9900,Star Trek Online,5419
367500,Dragon's Dogma: Dark Arisen,5345
237990,The Banner Saga,5343
286160,Tabletop Simulator,5335
332310,LEGO® Worlds,5320
234650,Shadowrun Returns,5312
239160,Thief,5309
330840,Game of Thrones - A Telltale Games Series,5253
247080,Crypt of the NecroDancer,5243
282140,SOMA,5232
42680,Call of Duty: Modern Warfare 3,5197
224760,FEZ,5196
304930,Unturned,5190
24010,Train Simulator,5160
110800,L.A. Noire,5121
24980,Mass Effect 2 (2010),5121
204450,Call of Juarez Gunslinger,5120
210770,Sanctum 2,5101
102700,A.V.A. Alliance of Valiant Arms™,5074
294860,Valkyria Chronicles™,5059
47890,The Sims(TM) 3,5059
269210,Hero Siege,5017
22320,The Elder Scrolls III: Morrowind,4962
278360,A Story About My Uncle,4946
289650,Assassin's Creed Unity,4920
418340,RWBY: Grimm Eclipse,4871
391460,WARMODE,4849
282440,Quake Live,4833
244930,SNOW,4826
17460,Mass Effect (2007),4825
493340,Planet Coaster,4818
22300,Fallout 3,4753
212480,Sonic & All-Stars Racing Transformed Collection,4736
50130,Mafia II (Classic),4730
355840,Survarium,4723
500,Left 4 Dead,4706
317360,Double Action: Boogaloo,4676
24200,DC Universe Online,4653
42700,Call of Duty: Black Ops,4642
239350,Spelunky,4610
232810,Godus,4600
420,Half-Life 2: Episode Two,4589
311340,METAL GEAR SOLID V: GROUND ZEROES,4588
299360,Block N Load,4588
48240,Anno 2070,4576
355180,Codename CURE,4560
394360,Hearts of Iron IV,4534
356670,Spooky's Jump Scare Mansion,4533
409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",4526
3830,Psychonauts,4510
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,4507
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,4496
102500,Kingdoms of Amalur: Reckoning™,4466
226860,Galactic Civilizations III,4459
39120,RIFT,4454
362890,Black Mesa,4432
257850,Hyper Light Drifter,4398
310950,Street Fighter V,4397
204880,Sins of a Solar Empire: Rebellion,4376
304430,INSIDE,4362
244210,Assetto Corsa,4349
310370,The Way of Life Free Edition,4339
388090,Five Nights at Freddy's 4,4326
232790,Broken Age,4314
383120,Empyrion - Galactic Survival,4313
251990,Long Live The Queen,4303
282800,100% Orange Juice,4300
39000,Moonbase Alpha,4287
284160,BeamNG.drive,4284
311690,Enter the Gungeon,4272
17080,Tribes: Ascend,4270
319630,Life is Strange™,4266
286690,Metro 2033 Redux,4250
312990,The Expendabros,4248
240760,Wasteland 2,4245
394230,Battleborn,4215
313740,Sakura Spirit,4188
221260,Little Inferno,4187
249050,Dungeon of the ENDLESS™,4177
211400,Deadlight,4169
264140,Pixel Piracy,4167
224480,Octodad: Dadliest Catch,4165
228380,Wreckfest,4140
8850,BioShock 2,4110
250400,How to Survive,4101
270550,Yet Another Zombie Defense,4099
33230,Assassin's Creed II,4087
206500,AirMech Strike,4073
203810,Dear Esther,4052
39210,FINAL FANTASY XIV Online,4049
387990,Scrap Mechanic,4045
326460,ShellShock Live,4028
298260,Only If,3983
312530,Duck Game,3978
9480,Saints Row 2,3970
41070,Serious Sam 3: BFE,3960
282900,Hyperdimension Neptunia Re;Birth1,3955
57690,Tropico 4,3953
313340,Mountain,3942
292120,FINAL FANTASY XIII,3901
55230,Saints Row: The Third,3894
256290,Child of Light,3880
258520,The Vanishing of Ethan Carter,3878
31280,Poker Night at the Inventory,3875
45760,Ultra Street Fighter IV,3851
333600,NEKOPARA Vol. 1,3823
434570,Blood and Bacon,3805
230050,DLC Quest,3800
236870,HITMAN™,3788
302510,Ryse: Son of Rome,3775
3590,Plants vs. Zombies: Game of the Year,3757
234630,Project CARS,3712
220440,DmC Devil May Cry,3699
208480,Assassin's Creed® III,3688
113020,Monaco,3677
292730,Call of Duty: Infinite Warfare,3666
70300,VVVVVV,3661
235600,Tom Clancy's Splinter Cell Blacklist,3660
262410,World of Guns: Gun Disassembly,3659
244450,Men of War: Assault Squad 2,3649
393420,Hurtworld,3636
7940,Call of Duty 4: Modern Warfare,3622
225260,Brütal Legend,3621
214420,Gear Up,3614
241560,The Crew,3613
268750,Magicite,3609
212070,Star Conflict,3592
254700,Resident Evil 4,3584
55150,"Warhammer 40,000: Space Marine - Anniversary Edition",3577
245470,Democracy 3,3575
228300,Remember Me,3572
310080,Hatoful Boyfriend,3567
389570,Mitos.is: The Game,3560
19680,Alice: Madness Returns,3539
49600,Beat Hazard,3530
238090,Sniper Elite 3,3526
246900,Viscera Cleanup Detail,3488
94400,Nidhogg,3485
218680,Scribblenauts Unlimited,3484
335670,LISA,3481
213670,South Park™: The Stick of Truth™,3479
265550,Dead Rising 3,3463
409710,BioShock Remastered,3462
4760,Rome: Total War,3460
12200,Bully: Scholarship Edition,3457
17470,Dead Space,3455
272060,Serena,3413
375230,"Warhammer 40,000: Eternal Crusade",3409
208140,ENDLESS™ Space - Definitive Edition,3408
351640,Eternal Senia,3396
50620,Darksiders,3393
258970,Gauntlet™ ,3386
300,Day of Defeat: Source,3379
2870,X Rebirth,3370
212800,Super Crate Box,3352
380600,Fishing Planet,3310
8500,EVE Online,3306
221040,Resident Evil 6,3306
113420,Fallen Earth,3306
237310,Elsword,3304
251060,Wargame: Red Dragon,3281
200900,Cave Story+,3275
212500,The Lord of the Rings Online™,3273
203290,America's Army: Proving Grounds,3269
405640,Pony Island,3264
245620,Tropico 5,3258
424280,Iron Snout,3257
313160,Farming Simulator 15,3255
287390,Metro: Last Light Redux,3233
249130,LEGO® MARVEL Super Heroes,3229
67370,The Darkness II,3225
266840,Age of Mythology: Extended Edition,3217
265300,Lords Of The Fallen,3211
20500,Red Faction: Guerrilla Steam Edition,3208
2400,The Ship,3207
9200,RAGE,3207
250420,8BitMMO,3200
44350,GRID 2,3197
49540,Aliens: Colonial Marines,3193
26800,Braid,3184
244160,Homeworld Remastered Collection,3183
71340,Sonic Generations,3176
304650,Sunless Sea,3162
239070,Hammerwatch,3160
332500,GRAV,3133
2600,Vampire: The Masquerade - Bloodlines,3117
10680,Aliens vs. Predator,3111
376870,Minecraft: Story Mode - A Telltale Games Series,3106
216150,MapleStory,3101
270170,Depression Quest,3100
365450,Hacknet,3099
324800,Shadow Warrior 2,3089
391720,Layers of Fear,3083
65930,The Bureau: XCOM Declassified,3076
91700,E.Y.E: Divine Cybermancy,3069
231160,The Swapper,3067
234710,Poker Night 2,3062
428690,Youtubers Life,3047
20920,The Witcher 2: Assassins of Kings Enhanced Edition,3043
298240,War Trigger 3,3037
268420,Aura Kingdom,2988
6000,STAR WARS™ Republic Commando,2982
268050,The Evil Within,2980
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2980
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2976
442080,Riders of Icarus,2974
242700,Injustice: Gods Among Us Ultimate Edition,2966
233290,MURDERED: SOUL SUSPECT™,2947
387860,the static speaks my name,2939
407530,ARK: Survival Of The Fittest,2937
335240,Transformice,2902
250340,Blockland,2894
214770,Guacamelee! Gold Edition,2879
35700,Trine,2870
307880,Savage Lands,2846
339800,HuniePop,2831
263760,Turbo Dismount,2824
290300,Rebel Galaxy,2821
327890,I Am Bread,2819
57900,Duke Nukem Forever,2815
56400,"Warhammer 40,000: Dawn of War II - Retribution",2803
247020,"Cook, Serve, Delicious!",2794
246090,Spacebase DF-9,2790
47780,Dead Space 2,2769
375950,Viridi,2755
236450,PAC-MAN Championship Edition DX+,2754
253030,Race The Sun,2748
34030,Total War: NAPOLEON - Definitive Edition,2734
47410,Stronghold Kingdoms,2723
230290,Universe Sandbox,2718
286100,You Have to Win the Game,2715
233470,Evoland,2702
239200,Amnesia: A Machine for Pigs,2700
236510,Takedown: Red Sabre,2685
307690,Sleeping Dogs: Definitive Edition,2685
296470,Mount Your Friends,2677
238210,System Shock 2,2676
207230,Archeblade,2675
237870,Planet Explorers,2673
394510,HELLDIVERS™,2670
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,2667
342200,MechWarrior Online,2665
376210,The Isle,2656
21090,F.E.A.R.,2646
303390,Dead Bits,2639
266010,LYNE,2615
288160,The Room,2614
39150,FINAL FANTASY VIII,2611
384190,ABZÛ,2606
215280,Secret World Legends,2588
40100,Supreme Commander 2,2580
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2577
266510,Hand of Fate,2576
447040,Watch_Dogs 2,2575
6020,STAR WARS™ Jedi Knight: Jedi Academy™,2575
341940,Hatred,2571
276810,Mordheim: City of the Damned,2571
298110,Far Cry 4,2544
287980,Mini Metro,2540
506610,Five Nights at Freddy's: Sister Location,2539
370240,NBA 2K16,2534
373420,Divinity: Original Sin Enhanced Edition,2522
323320,Grow Home,2512
227860,Castle Story,2512
32470,STAR WARS™ Empire at War: Gold Pack,2511
298900,Space Hulk: Deathwing,2507
6860,Hitman: Blood Money,2504
268650,From The Depths,2464
104700,Super Monday Night Combat,2462
339610,FreeStyle 2: Street Basketball,2451
19900,Far Cry 2,2450
246280,Happy Wars,2447
213610,Sonic Adventure™ 2 ,2446
351290,SURVIVAL: Postapocalypse Now,2434
226840,Age of Wonders III,2413
215470,Primal Carnage,2403
253250,Stonehearth,2400
15620,"Warhammer 40,000: Dawn of War II",2398
388880,Oxenfree,2394
516750,My Summer Car,2384
287290,Resident Evil Revelations 2,2383
402710,Osiris: New Dawn,2374
324810,TOXIKK,2373
215530,The Incredible Adventures of Van Helsing,2368
270150,RUNNING WITH RIFLES,2358
386070,Planetary Annihilation: TITANS,2355
368370,Her Story,2354
261180,Lethal League,2354
333950,Medieval Engineers,2339
263980,Out There Somewhere,2325
266210,One Way Heroics,2314
248310,Freedom Planet,2314
368230,Kingdom: Classic,2305
498240,Batman - The Telltale Series,2298
233860,Kenshi,2297
385800,NEKOPARA Vol. 0,2289
102600,Orcs Must Die!,2288
423880,Carpe Diem,2285
253430,CastleMiner Z,2284
397340,SimplePlanes,2279
340,Half-Life 2: Lost Coast,2275
350080,Wolfenstein: The Old Blood ,2267
72850,The Elder Scrolls V: Skyrim,2260
4560,Company of Heroes - Legacy Edition,2252
365300,Transmissions: Element 120,2248
238430,Contagion,2244
225600,Blade Symphony,2237
403190,Planetbase,2236
220700,RPG Maker VX Ace,2235
295790,Never Alone (Kisima Ingitchuna),2235
21100,F.E.A.R. 3,2234
242880,"Sir, You Are Being Hunted",2233
555570,Infestation: The New Z,2233
47870,Need for Speed: Hot Pursuit,2233
248390,Craft The World,2226
41500,Torchlight,2205
204030,Fable - The Lost Chapters,2193
371660,Far Cry Primal,2180
234190,Receiver,2179
99810,Bulletstorm,2159
233610,Distance,2155
325600,Sword Coast Legends,2141
287450,Rise of Nations: Extended Edition,2140
461560,Mandagon,2140
351970,Tales of Zestiria,2134
380,Half-Life 2: Episode One,2130
42160,War of the Roses,2127
383980,Rivals of Aether,2126
80,Counter-Strike: Condition Zero,2122
12220,Grand Theft Auto: Episodes from Liberty City,2122
233150,LUFTRAUSERS,2120
250620,Among the Sleep,2117
300550,Shadowrun: Dragonfall - Director's Cut,2115
304240,Resident Evil,2115
387290,Ori and the Blind Forest: Definitive Edition,2110
228280,Baldur's Gate: Enhanced Edition,2099
92800,SpaceChem,2089
48220,Might & Magic: Heroes VI,2085
223100,Homefront: The Revolution,2070
9420,Supreme Commander: Forged Alliance,2067
404410,Endless Sky,2067
359870,FINAL FANTASY X/X-2 HD Remaster,2064
331470,Everlasting Summer,2063
290770,The Fall,2063
18500,Defense Grid: The Awakening,2051
235800,Audiosurf 2,2051
205950,Jet Set Radio,2050
250180,METAL SLUG 3,2048
236150,Starpoint Gemini 2,2044
224500,Gnomoria,2042
301910,Saints Row: Gat out of Hell,2038
327410,A Bird Story,2037
363680,Battlefleet Gothic: Armada,2033
270450,Robot Roller-Derby Disco Dodgeball,2031
302380,Floating Point,2024
246420,Kingdom Rush,2017
422970,Devil Daggers,2010
316390,Anomaly Zone,1995
320,Half-Life 2: Deathmatch,1994
34010,Alpha Protocol,1993
219830,King Arthur's Gold,1991
367580,Hook,1979
290340,Armello,1979
454650,DRAGON BALL XENOVERSE 2,1976
38400,Fallout,1967
257730,Infinity Wars - Animated Trading Card Game,1965
48190,Assassin's Creed Brotherhood,1963
222750,Wargame: AirLand Battle,1962
251150,The Legend of Heroes: Trails in the Sky,1957
230190,War for the Overworld,1953
222730,Reus,1952
15100,Assassin's Creed,1940
391270,Fingerbones,1928
203750,Binary Domain,1921
208200,DOOM 3: BFG Edition,1898
301640,Zombie Army Trilogy,1896
210970,The Witness,1890
218640,Lucius,1878
2700,RollerCoaster Tycoon 3: Platinum!,1875
447530,VA-11 Hall-A: Cyberpunk Bartender Action,1873
252330,Slender: The Arrival,1869
63710,BIT.TRIP RUNNER,1868
247000,Talisman: Digital Edition,1863
360740,Downwell,1858
394310,Punch Club,1856
382490,Relic Hunters Zero: Remix,1842
244870,Electronic Super Joy,1835
282560,RollerCoaster Tycoon World,1827
25890,Hearts of Iron III,1825
320300,Car Mechanic Simulator 2015,1824
107310,Cthulhu Saves the World ,1821
322920,theHunter: Primal,1820
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,1819
376570,WildStar,1817
365670,Blender,1810
48720,Mount & Blade: With Fire and Sword,1807
288470,Fable Anniversary,1804
356570,Party Hard,1803
362960,Tyranny,1801
252410,SteamWorld Dig,1801
427270,Orcs Must Die! Unchained,1799
353360,how do you Do It?,1799
214340,Deponia,1798
246580,The Typing of The Dead: Overkill,1797
315430,Polarity,1795
242820,140,1794
265210,Viscera Cleanup Detail: Santa's Rampage,1781
290790,Grey Goo,1778
107200,Space Pirates and Zombies,1771
293260,Card Hunter,1770
221020,Towns,1766
298050,Master of Orion,1766
223750,DCS World Steam Edition,1765
233980,Unepic,1762
24780,SimCity 4 Deluxe,1757
385770,Time Clickers,1752
285920,TerraTech,1748
277430,Halo: Spartan Assault,1744
50,Half-Life: Opposing Force,1743
378120,Football Manager 2016,1742
219680,Proteus,1739
274900,Murder Miners,1736
242640,Styx: Master of Shadows,1733
286340,FarSky,1729
228400,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,1729
233740,Organ Trail: Director's Cut,1729
368500,Assassin's Creed Syndicate,1728
220260,Farming Simulator 2013,1725
17450,Dragon Age: Origins,1713
346120,Boring Man - Online Tactical Stickman Combat,1711
282350,NBA 2K15,1709
266430,Anarchy Arcade,1705
253110,The Cat Lady,1699
270210,Melody's Escape,1690
244770,StarMade,1688
374040,Portal Knights,1676
293780,Crawl,1674
40700,Machinarium,1671
232890,Stronghold Crusader 2,1668
406150,Refunct,1665
237740,Angry Video Game Nerd Adventures,1663
7520,Two Worlds II,1661
2100,Dark Messiah of Might & Magic Single Player,1660
234330,Marvel Puzzle Quest,1658
251170,Damned,1658
316790,Grim Fandango Remastered,1657
444640,Bloons TD Battles,1652
38410,Fallout 2,1650
22350,BRINK,1648
70400,Recettear: An Item Shop's Tale,1647
115320,PROTOTYPE 2,1646
318430,Squishy the Suicidal Pig,1639
238240,Edge of Space,1639
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,1638
369580,NotTheNameWeWanted,1634
9450,"Warhammer 40,000: Dawn of War - Soulstorm",1629
234080,Castlevania: Lords of Shadow - Ultimate Edition,1625
218410,Defender's Quest: Valley of the Forgotten,1622
321360,Primal Carnage: Extinction,1618
220860,McPixel,1614
311730,Dead or Alive 5 Last Round,1613
300380,Road Redemption,1608
274920,FaceRig,1608
339280,Strife,1607
447820,Day of Infamy,1604
335330,Brick-Force,1600
397950,Clustertruck,1599
317470,Cubic Castles,1592
314160,Microsoft Flight Simulator X: Steam Edition,1590
98400,Hard Reset,1585
214850,GameMaker: Studio,1584
237630,DuckTales Remastered,1581
281610,Homeworld: Deserts of Kharak,1566
224060,Deadpool,1566
22000,World of Goo,1564
32430,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,1557
258180,Deus Ex: The Fall,1555
274310,Always Sometimes Monsters,1554
226980,Pinball FX2,1552
215080,WAKFU,1550
307290,Velvet Sundown,1545
20,Team Fortress Classic,1542
413410,Danganronpa: Trigger Happy Havoc,1537
280,Half-Life: Source,1537
12140,Max Payne,1535
362490,Exanima,1535
259530,Savant - Ascent,1533
269770,Secrets of Grindea,1530
201870,Assassin's Creed Revelations,1530
308420,Ziggurat,1527
285310,RollerCoaster Tycoon: Deluxe,1526
306660,Ultimate General: Gettysburg,1526
34870,Sniper Ghost Warrior 2,1524
251870,Go! Go! Nippon! ~My First Trip to Japan~,1523
297130,Titan Souls,1521
55110,Red Faction: Armageddon,1520
222480,Resident Evil Revelations,1519
211500,RaceRoom Racing Experience ,1515
338170,Ratz Instagib 2.0,1512
426000,HunieCam Studio,1512
271240,Offworld Trading Company,1503
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,1502
91600,Sanctum,1501
237850,Dreamfall Chapters,1493
394690,Tower Unite,1492
462930,AdVenture Communist,1487
265890,Hexcells,1485
332200,Axiom Verge,1482
300080,Total War Battles: KINGDOM,1480
200170,Worms Revolution,1478
17570,"Pirates, Vikings, & Knights II",1476
402570,Atlas Reactor,1468
260430,The Four Kings Casino and Slots,1463
115100,Costume Quest,1463
238260,Pinball Arcade,1457
223830,Xenonauts,1455
65790,Arma: Cold War Assault,1451
16450,F.E.A.R. 2: Project Origin,1447
261530,Lifeless Planet,1446
306020,Bloons TD5,1444
98200,Frozen Synapse,1440
236690,Blood Bowl 2,1434
244630,NEOTOKYO°,1428
47790,Medal of Honor(TM) Single Player,1426
429790,AdventureQuest 3D,1425
447020,Farming Simulator 17,1425
231740,Knights of Pen and Paper +1,1421
107900,War Inc. Battlezone,1421
227100,Sniper Elite: Nazi Zombie Army,1419
287920,Mortal Online,1419
227180,Kingdom Wars,1418
202750,Alan Wake's American Nightmare,1409
283640,Salt and Sanctuary,1406
9880,Champions Online,1402
3920,Sid Meier's Pirates!,1400
264380,Narcissu 1st & 2nd,1393
244710,Shelter 1,1382
410320,EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,1382
55100,Homefront,1380
247660,Deadly Premonition: The Director's Cut,1379
12750,GRID,1378
453480,Shadowverse,1375
377840,FINAL FANTASY IX,1374
254440,Pool Nation,1372
15120,Tom Clancy's Rainbow Six: Vegas 2,1363
94200,Jamestown,1361
332070,School of Dragons: How to Train Your Dragon,1360
259680,Tales of Maj'Eyal,1359
286940,S.K.I.L.L. - Special Force 2,1358
204060,Superbrothers: Sword & Sworcery EP,1350
71250,Sonic Adventure DX,1346
130,Half-Life: Blue Shift,1344
315460,Dig or Die,1342
38600,Faerie Solitaire,1341
234390,Teleglitch: Die More Edition,1337
370360,TIS-100,1336
249630,Delver,1334
360940,The Mean Greens - Plastic Warfare,1330
362680,Fran Bow,1330
64000,Men of War: Assault Squad,1327
280220,Creeper World 3: Arc Eternal,1326
252030,Valdis Story: Abyssal City,1323
326410,Windward,1322
209370,Analogue: A Hate Story,1317
323060,Tharsis,1316
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1315
247910,Sniper Elite: Nazi Zombie Army 2,1315
319910,Trine 3: The Artifacts of Power,1314
346940,Shadowrun: Hong Kong - Extended Edition,1312
311310,Naval Action,1310
217140,Rise of the Triad,1309
322770,Vanishing Realms,1303
249990,FORCED,1303
29800,Caster,1297
314020,Morphopolis,1290
238370,Magicka 2,1289
392950,Lost Lands: A Hidden Object Adventure,1286
1520,DEFCON,1286
270850,Car Mechanic Simulator 2014,1285
224440,Folk Tale,1284
364420,Roguelands,1284
261760,Lichdom: Battlemage,1279
360430,Mafia III: Definitive Edition,1279
257350,Baldur's Gate II: Enhanced Edition,1277
32500,STAR WARS™: The Force Unleashed™ II,1274
261110,Killer is Dead,1274
207690,Botanicula,1272
297000,Heroes of Might & Magic III - HD Edition,1270
45740,Dead Rising 2,1269
529110,Awkward Dimensions Redux,1267
254200,FortressCraft Evolved,1267
390670,Steel Ocean,1263
231200,Kentucky Route Zero,1250
263540,Villagers and Heroes,1250
402020,The Park,1250
282210,Sid Meier's Starships,1250
7760,X-COM: UFO Defense,1237
60,Ricochet,1237
367120,Seduce Me the Otome,1234
386940,Ultimate Chicken Horse,1231
228880,Ashes of the Singularity: Classic,1224
4920,Natural Selection 2,1219
381120,Shoppe Keep,1216
420110,NEKOPARA Vol. 2,1213
204630,Retro City Rampage™ DX,1213
